"state","gconcept_best","rank","day"
"Minnesota","art center",2,"Friday"
"Louisiana","parking garage",2,"Friday"
"Florida","event management company",2,"Friday"
"West Virginia","fast food restaurant",2,"Friday"
"New Mexico","historical landmark",2,"Friday"
"Nevada","parking garage",2,"Friday"
"Texas","rodeo",2,"Friday"
"Arizona","historical landmark",2,"Friday"
"Hawaii","bed and breakfast",2,"Friday"
"Pennsylvania","game store",2,"Friday"
"New Jersey","stadium",2,"Friday"
"California","athletic field",2,"Friday"
"Rhode Island","park",2,"Friday"
"Utah","tourist attraction",2,"Friday"
"Tennessee","car race track",2,"Friday"
"Maine","park",2,"Friday"
"Missouri","museum",2,"Friday"
"Alabama","condominium complex",2,"Friday"
"South Carolina","historical landmark",2,"Friday"
"Oregon","winery",2,"Friday"
"Michigan","plant nursery",2,"Friday"
"New Hampshire","seafood restaurant",2,"Friday"
"Indiana","night club",2,"Friday"
"Delaware","cell phone store",2,"Friday"
"Wisconsin","plant nursery",2,"Friday"
"Washington","market",2,"Friday"
"Georgia","mosque",2,"Friday"
"Maryland","golf course",2,"Friday"
"Vermont","pizza restaurant",2,"Friday"
"Kentucky","cemetery",2,"Friday"
"Kansas","park",2,"Friday"
"Virginia","parking lot",2,"Friday"
"Idaho","park",2,"Friday"
"Mississippi","coffee shop",2,"Friday"
"Arkansas","museum",2,"Friday"
"Iowa","breakfast restaurant",2,"Friday"
"District of Columbia","store",2,"Friday"
"Ohio","motorcycle dealer",2,"Friday"
"Nebraska","home improvement store",2,"Friday"
"South Dakota","american restaurant",2,"Friday"
"Illinois","building materials store",2,"Overall"
"Oklahoma","place of worship",2,"Overall"
"Michigan","farm equipment supplier",2,"Overall"
"New York","county government office",2,"Overall"
"Texas","athletic field",2,"Overall"
"New Mexico","historical landmark",2,"Overall"
"Massachusetts","house cleaning service",2,"Overall"
"Nevada","vietnamese restaurant",2,"Overall"
"Pennsylvania","auction house",2,"Overall"
"South Carolina","condominium complex",2,"Overall"
"Utah","tourist attraction",2,"Overall"
"Connecticut","bridal shop",2,"Overall"
"Louisiana","parking lot",2,"Overall"
"Florida","event management company",2,"Overall"
"Tennessee","flea market",2,"Overall"
"Minnesota","business center",2,"Overall"
"New Hampshire","park",2,"Overall"
"North Carolina","tree farm",2,"Overall"
"Oregon","winery",2,"Overall"
"Alabama","condominium complex",2,"Overall"
"Arizona","tour agency",2,"Overall"
